persuade |  v. 说服 vt. 劝说,说服
adaptive |  adj. 适合的,适应的,能适应的
doom |  n. 命运,不幸,宣告,判决 // vt. 命中注定,宣告
spotlight |  n. 照明灯, 车头灯 // 公众注意中心
combat |  n. 争斗,战斗 // vt. 打斗 // vi. 战斗,与…斗争 // adj. 战斗的
provoke |  vt. 激怒, 惹起, 驱使
definitive |  adj. 决定性的，权威性的，确定的，限定的 // n. 限定词
conclusive |  adj. 决定性的, 确实的, 最后的
tentative |  n. 试验,假设 // adj. 试验性质的,暂时的,犹豫不决的
denounce |  v. 告发, 公然抨击
accuse |  vt. 责备,控告
condemn |  vt. 判刑, 谴责, 官方宣称（某事物）有缺陷或不宜使用
criticize |  vt. 批评, 吹毛求疵, 非难 // vi. 批评
restraint |  n. 抑制,克制,束缚
self-restraint |  n.自制
initially |  adv. 最初, 开头
submit |  vt. 呈送, 递交, 主张 // vt. 使服从, 屈服 // vi. 屈从; 忍受
overview |  n. 概观(况),总结 // [计算机] 概貌
mortgage |  vt. 抵押 // n. 抵押；房屋抵押贷款
ownership |  n. 所有权
partnership |  n. 合伙, 合股
sue |  vt. 控告, 起诉 // vi. 请求, 追求, 起诉 // n. (Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称)
prosecute |  vt. 对...提起公诉,彻底进行,追捕,经营,从事 // vi.起诉,担任检察官
indict |  v. 起诉, 控告, 指控
flow |  vi.流； 垂； 流出； （谈话、文体等）流畅 // n.流动； 滔滔不绝； 涨潮； 连贯 // vt.使泛滥； 淹没； 排出
capital |  n. 首都,资本,大写字母 // adj. 大写的,资本的，首要的
capitalize |  v. 以大写字母写, 使...资本化, 计算...的现价
capitalism |  n. 资本主义
capitalist |  n. 资本家，资本主义者 // adj. 资本主义的，有资本的
liability |  n. 责任, 可能性，债务, 不利因素
obligation |  n. 义务, 责任
hindrance |  n. 妨害, 障碍, 阻碍物
donate |  vt. 捐赠,转移(电子) // vi. 捐款
donation |  n. 捐赠物, 捐款, 捐赠
donator |  n. 捐赠人
contribute |  vt. 捐助,投稿 // vi. 投稿,贡献,是原因之一
present |  n. 礼物, 现在 // adj. 当面的, 出席的, 现在的 // v. 赠送, 提出, 呈现
ship |  n. 船,舰,船员,飞船 // vt. 以船运送,乘船,运送,进水,在船上工作 // vi. 上船,坐船,运送,在船上工作
complimentary |  adj. 问候的,称赞的,夸奖的,免费赠送的
ward |  n. 守卫, 监护, 病房, 行政区, 由监护人或法院保护的人（尤指儿童） // vt. 守护, 躲开
guard |  n. 守卫者,警戒, 护卫队, 保护 // vt. &vi. 保卫,看守,警惕
award |  vt.授予，奖给，判给； 判归，判定 // n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书
staple |  n. 主要产物(要素),原料(地),U形(订书)钉 // adj. 主要的,重要的 // vt. 用订书机装订
repel |  v. 逐退, 使...厌恶, 反驳
cream |  n.乳霜； 精英； 奶油色； 乳脂，奶油 // vt.把…搅成糊状（或奶油状）混合物； 彻底打败，狠揍
drown |  vt. 淹死,沉浸于, // vi. 淹死
angle |  n. 角(度),角落 // vt. 斜移,转变角度 // vi. 钓鱼,谋取,转变角度 // n. (Angle)盎格鲁人
lifeguard |  n. 救生员
assist |  n. 帮助,协助,协助的器械 // vt. 帮助,协助 // vi. 帮助,协助,出席
assistance |  n. 帮助, 援助
assistant |  adj. 助理的；辅助的。 // n. 助手助理；助教，店员
sort |  n. 种类,样子,态度 // v. 分类,整理,排序 // n.[计算机] DOS命令 : 在字符型文件中进行数据排序, 或者将DOS命令的输出进行排序
terror |  n. 恐怖，惊骇，令人惧怕或讨厌的人或事物
pave |  v. 铺设, 安排, 为...铺路
eclipse |  n. 日蚀,月蚀,衰落 // v. 引起日蚀,引起月蚀,使...黯然失色
pour |  n. 流出,倾泻,骤雨 // vt. &vi. 倒,倾泻,蜂涌而来
abide by |  v. 遵守,  服从
abnormal |  adj. 反常的,不正常的,不规则的 // n. 不正常的人
aboriginal |  adj. 原始的, 土著的
abrupt |  adj. 突然的；唐突的, 陡峭的
absorption |  n. 吸收,全神贯注
accomplishment |  n. 成就,完成
accountable |  adj. 负有责任的
adaptable |  adj. 能适应的，适应性强的，可改编的
admirable |  adj. 令人钦佩的, 令人赞赏的
adoring |  adj. 崇拜的，敬慕的 // 动词adore的现在分词形式
advancement |  n. 前进, 进步
agile |  adj. （动作）敏捷的,灵活的,（头脑）机灵的
alarming |  adj. 惊人的, 吓人的
all-round |  adj. 全面的，综合性的
allure |  v. 引诱, 吸引 // n. 诱惑力，吸引力
antisocial |  adj. 非社交的, 不擅社交的, 反社会的
appalling |  adj. 令人震惊的, 可怕的 // 动词appall的现在分词形式
appetizing |  adj. 开胃的, 促进食欲的 // =appetising
arrogant |  adj. 傲慢的, 自大的
artistic |  adj. 艺术的
aspirant |  n. 怀抱大志者, 野心家 // adj. 有抱负的，有野心的
astronomical |  adj. 天文学的，巨大的
authentic |  adj. 可靠的,可信的,真的,真正的
calamity |  n. 灾难, 不幸事件
captivity |  n. 囚禁, 被俘虏
censorship |  n. 检查制度
communication |  n. 沟通,交通,沟通
corruption |  n. 腐败, 堕落, 贪污
creativity |  n. 创造力, 创造
cultivation |  n. 教化, 培养, 耕作
deception |  n. 骗局,诡计,欺骗,欺诈
deterioration |  n. 恶化,降低,退化
disaster |  n. 灾难
elimination |  n. 除去, 消除
embarrassment |  n. 困窘，尴尬，困难
enforcement |  n. 厉行, 执行, 强制
entertainment |  n. 娱乐
equality |  n. 同等, 平等
evaluation |  n. 估价,评价
extinction |  n.熄灭； 消灭，灭绝； 废除； [物]消光，自屏，衰减
freedom |  n. 自由
hygiene |  adj. (hygienic) // n. 卫生
indifference |  n. 不重视, 无兴趣, 漠不关心
individuality |  n. 个性, 人格, 特征
infringement |  n. 违反(侵犯)
interaction |  n. 相互作用, 相互影响
interference |  n. 冲突, 干涉 // [计算机] 干涉
intervention |  n. 插入,介入,调停
jeopardy |  n. 危险
motivation |  n. 动机
participation |  n. 参加, 参与
population |  n. 人口
preservation |  n. 保存
